timestamp,Carrier,OriginCityName,OriginCountry,DestCityName,DestCountry,FlightTimeMin,AvgTicketPrice,Cancelled,FlightDelayType
"Nov 1, 2021 @ 11:53:11.000","Kibana Airlines","Cape Town",ZA,"Cape Town",ZA,30,"$184.47",false,"Late Aircraft Delay"
"Nov 1, 2021 @ 11:48:41.000","Logstash Airways",Denver,US,Minneapolis,US,"64.364","$232.3",false,"No Delay"
"Nov 1, 2021 @ 11:47:31.000",JetBeats,Dublin,IE,"Las Vegas",US,"468.947","$487.35",false,"No Delay"
"Nov 1, 2021 @ 11:37:27.000","Kibana Airlines",Milan,IT,Olenegorsk,RU,"137.386","$786.16",false,"No Delay"
"Nov 1, 2021 @ 11:34:00.000","Logstash Airways","Jebel Ali",AE,"Xi'an",CN,"436.187","$318.73",false,"No Delay"
"Nov 1, 2021 @ 11:33:12.000","Logstash Airways",Tokyo,JP,Verona,IT,"509.373","$436.6",true,"No Delay"
"Nov 1, 2021 @ 11:30:59.000","Logstash Airways",Cologne,DE,Osaka,JP,"662.915","$397.78",false,"No Delay"
"Nov 1, 2021 @ 11:25:05.000","Logstash Airways",Quito,EC,Torino,IT,"647.123","$378.73",false,"No Delay"
"Nov 1, 2021 @ 11:20:18.000","ES-Air","Mexico City",MX,Portland,US,"555.9","$600.89",false,"Weather Delay"
"Nov 1, 2021 @ 11:13:18.000",JetBeats,Venice,IT,Winnipeg,CA,"616.917","$558.79",false,"NAS Delay"
"Nov 1, 2021 @ 11:06:17.000","Kibana Airlines",Genova,IT,Hyderabad,IN,"589.639","$328.78",false,"No Delay"
"Nov 1, 2021 @ 11:05:29.000","Logstash Airways",Quito,EC,Stockholm,SE,"648.245","$629.19",false,"No Delay"
"Nov 1, 2021 @ 10:47:53.000","ES-Air",Bologna,IT,Cagliari,IT,"51.285","$148.38",false,"No Delay"
"Nov 1, 2021 @ 10:45:58.000","Logstash Airways",Verona,IT,Vienna,AT,"48.04","$563.67",false,"No Delay"
"Nov 1, 2021 @ 10:43:13.000","ES-Air",Chengdu,CN,Treviso,IT,"370.371","$492.81",false,"No Delay"
"Nov 1, 2021 @ 10:38:49.000","Logstash Airways",Sydney,AU,Tulsa,US,"1,205.233","$848.16",false,"NAS Delay"
"Nov 1, 2021 @ 10:32:08.000","ES-Air",Shanghai,CN,Stockholm,SE,"470.373","$322.28",false,"Late Aircraft Delay"
"Nov 1, 2021 @ 10:31:56.000",JetBeats,Palermo,IT,"Xi'an",CN,"409.01","$740.11",false,"No Delay"
"Nov 1, 2021 @ 10:31:10.000","ES-Air",Vienna,AT,"Xi'an",CN,"715.127","$416.24",false,"NAS Delay"
"Nov 1, 2021 @ 10:30:54.000","Logstash Airways",Bangalore,IN,"Xi'an",CN,"195.713","$728.75",false,"No Delay"
"Nov 1, 2021 @ 10:29:04.000","ES-Air",Palermo,IT,"Buenos Aires",AR,"995.028","$918.05",false,"No Delay"
"Nov 1, 2021 @ 10:26:21.000","ES-Air","Frankfurt am Main",DE,London,GB,"44.011","$616.66",false,"No Delay"
"Nov 1, 2021 @ 10:18:26.000","Kibana Airlines",Chicago,US,Osaka,JP,"548.893","$271.48",false,"No Delay"
"Nov 1, 2021 @ 10:14:31.000","Logstash Airways",Bologna,IT,"Buenos Aires",AR,"703.785","$321.4",true,"No Delay"
"Nov 1, 2021 @ 10:04:45.000","ES-Air",Beijing,CN,Treviso,IT,"493.913","$549.77",false,"No Delay"
"Nov 1, 2021 @ 09:51:11.000","Kibana Airlines",Shanghai,CN,Torino,IT,"893.765","$716.16",false,"Weather Delay"
"Nov 1, 2021 @ 09:45:56.000",JetBeats,Lima,PE,"Kansas City",US,"298.362","$652.46",false,"No Delay"
"Nov 1, 2021 @ 09:43:59.000",JetBeats,Durban,ZA,Memphis,US,"968.43","$916.61",false,"No Delay"
"Nov 1, 2021 @ 09:37:49.000",JetBeats,London,GB,Tokyo,JP,"736.411","$614.66",false,"No Delay"
"Nov 1, 2021 @ 09:29:12.000","ES-Air",Palermo,IT,Shanghai,CN,"492.883","$335.47",false,"No Delay"
"Nov 1, 2021 @ 09:29:12.000","ES-Air",Dubai,AE,"Kansas City",US,"581.649","$854.75",false,"No Delay"
"Nov 1, 2021 @ 09:28:33.000","Logstash Airways",Milwaukee,US,Quito,EC,"336.69","$423.44",false,"Carrier Delay"
"Nov 1, 2021 @ 09:20:57.000","Logstash Airways",Edmonton,CA,Warsaw,PL,"609.954","$265.04",false,"NAS Delay"
"Nov 1, 2021 @ 09:16:05.000","Logstash Airways",Belleville,US,Venice,IT,"554.31","$651.57",false,"Late Aircraft Delay"
"Nov 1, 2021 @ 09:06:38.000","Kibana Airlines",Hyderabad,IN,Shanghai,CN,"257.473","$918.5",false,"No Delay"
"Nov 1, 2021 @ 09:03:07.000","Kibana Airlines","Cape Town",ZA,Genova,IT,"633.863","$828.85",false,"NAS Delay"
"Nov 1, 2021 @ 09:00:00.000",JetBeats,Rome,IT,"Mexico City",MX,"602.278","$395.92",false,"No Delay"
"Nov 1, 2021 @ 08:55:20.000","Logstash Airways",Osaka,JP,Shanghai,CN,"112.462","$907.45",false,"No Delay"
"Nov 1, 2021 @ 08:55:20.000","Kibana Airlines","Abu Dhabi",AE,Shanghai,CN,"325.825","$819.28",false,"No Delay"
"Nov 1, 2021 @ 08:48:43.000","ES-Air",Moscow,RU,"St Louis",US,"400.544","$1,092.68",false,"No Delay"
"Nov 1, 2021 @ 08:25:24.000","Logstash Airways",Cologne,DE,"Buenos Aires",AR,"545.672","$876.78",false,"No Delay"
"Nov 1, 2021 @ 08:18:05.000","Kibana Airlines","San Juan",PR,Quito,EC,"223.518","$761.64",false,"No Delay"
"Nov 1, 2021 @ 08:18:05.000","Logstash Airways",Charlotte,US,Oslo,NO,"797.383","$1,023.43",false,"Weather Delay"
"Nov 1, 2021 @ 08:17:50.000","Kibana Airlines",Genova,IT,Hyderabad,IN,"544.282","$1,093.35",false,"No Delay"
"Nov 1, 2021 @ 07:58:56.000","Kibana Airlines","Cape Town",ZA,Dubai,AE,"401.04","$843.55",false,"No Delay"
"Nov 1, 2021 @ 07:44:42.000","Logstash Airways",Dubai,AE,Verona,IT,"239.095","$834.02",false,"No Delay"
"Nov 1, 2021 @ 07:42:39.000","Logstash Airways",Osaka,JP,Toronto,CA,"816.89","$1,003.13",false,"No Delay"
"Nov 1, 2021 @ 07:32:19.000",JetBeats,Adelaide,AU,Dublin,IE,"1,036.653","$733.48",false,"No Delay"
"Nov 1, 2021 @ 07:28:34.000","ES-Air",Guangzhou,CN,Tokyo,JP,"334.838","$759.52",false,"NAS Delay"
"Nov 1, 2021 @ 07:20:34.000","Logstash Airways",Melbourne,AU,"Chitose / Tomakomai",JP,"529.195","$1,144.22",false,"Late Aircraft Delay"
"Nov 1, 2021 @ 07:10:24.000",JetBeats,Shanghai,CN,Tokyo,JP,"124.305","$1,100.92",false,"No Delay"
"Nov 1, 2021 @ 07:05:23.000",JetBeats,Naples,IT,Ottawa,CA,"330.418","$579.24",false,"No Delay"
"Nov 1, 2021 @ 06:59:55.000","Kibana Airlines","St Louis",US,Zurich,CH,"503.962","$902.02",false,"Carrier Delay"
"Nov 1, 2021 @ 06:42:38.000","Kibana Airlines",Chengdu,CN,Quito,EC,"1,511.392","$706.2",false,"No Delay"
"Nov 1, 2021 @ 06:40:50.000","Kibana Airlines",Edmonton,CA,Milan,IT,"596.389","$880.02",true,"No Delay"
"Nov 1, 2021 @ 06:39:55.000","Kibana Airlines",Santiago,CL,Winnipeg,CA,"799.151","$625.2",false,"No Delay"
"Nov 1, 2021 @ 06:39:38.000","ES-Air","Buenos Aires",AR,Hyderabad,IN,"1,394.822","$720.68",true,"No Delay"
"Nov 1, 2021 @ 06:26:24.000","Logstash Airways",Naples,IT,Vienna,AT,"45.716","$943.18",true,"No Delay"
"Nov 1, 2021 @ 06:19:22.000",JetBeats,Seoul,KR,Guangzhou,CN,"126.943","$1,179.26",false,"No Delay"
"Nov 1, 2021 @ 06:17:57.000",JetBeats,Bogota,CO,Oslo,NO,"442.473","$616.86",false,"No Delay"
"Nov 1, 2021 @ 06:15:39.000","Logstash Airways",Newark,US,Oslo,NO,"716.812","$789.1",false,"Late Aircraft Delay"
"Nov 1, 2021 @ 06:08:37.000","Logstash Airways",Belogorsk,RU,Belogorsk,RU,0,"$383.49",false,"No Delay"
"Nov 1, 2021 @ 05:50:38.000","ES-Air",Philadelphia,US,Venice,IT,"525.889","$847.64",false,"No Delay"
"Nov 1, 2021 @ 05:50:27.000","Kibana Airlines",Guangzhou,CN,"Buenos Aires",AR,"925.841","$736.89",false,"No Delay"
"Nov 1, 2021 @ 05:43:28.000","ES-Air","New York",US,"Xi'an",CN,"649.226","$605.03",false,"No Delay"
"Nov 1, 2021 @ 05:39:02.000","Logstash Airways",Vienna,AT,Vienna,AT,0,"$209.41",false,"No Delay"
"Nov 1, 2021 @ 05:31:15.000","Kibana Airlines",Manchester,GB,Syracuse,US,"314.581","$1,103.02",false,"No Delay"
"Nov 1, 2021 @ 05:06:30.000",JetBeats,"Abu Dhabi",AE,Portland,US,"659.491","$522.05",false,"NAS Delay"
"Nov 1, 2021 @ 05:05:43.000","Logstash Airways",Quito,EC,Tulsa,US,"315.129","$1,077.64",false,"No Delay"
"Nov 1, 2021 @ 04:57:46.000","ES-Air",Verona,IT,Vienna,AT,"27.813","$1,079.6",false,"No Delay"
"Nov 1, 2021 @ 04:45:55.000",JetBeats,Ottawa,CA,Vienna,AT,"688.785","$897.63",false,"Weather Delay"
"Nov 1, 2021 @ 04:35:27.000","Logstash Airways",Duluth,US,Duluth,US,180,"$256.98",false,"Late Aircraft Delay"
"Nov 1, 2021 @ 04:31:25.000",JetBeats,Miami,US,Pisa,IT,"739.092","$1,101.55",false,"No Delay"
"Nov 1, 2021 @ 04:20:03.000",JetBeats,Brisbane,AU,London,GB,"1,500.461","$656.23",false,"No Delay"
"Nov 1, 2021 @ 04:14:48.000","ES-Air",Palermo,IT,Zurich,CH,"84.321","$727.45",false,"No Delay"
"Nov 1, 2021 @ 04:07:33.000","Logstash Airways",Quito,EC,Moscow,RU,"965.824","$640.93",false,"No Delay"
"Nov 1, 2021 @ 04:06:11.000","ES-Air",Dublin,IE,Orlando,US,"383.54","$719.4",false,"No Delay"
"Nov 1, 2021 @ 04:05:45.000","Logstash Airways",Bergamo,IT,Sydney,AU,"1,501.299","$631.12",false,"No Delay"
"Nov 1, 2021 @ 04:05:45.000",JetBeats,Bari,IT,Brisbane,AU,"1,116.399","$930.73",false,"NAS Delay"
"Nov 1, 2021 @ 04:01:26.000","ES-Air","Jebel Ali",AE,"San Juan",PR,"926.712","$938.16",false,"No Delay"
"Nov 1, 2021 @ 03:49:59.000",JetBeats,Warsaw,PL,Warsaw,PL,0,"$412.37",true,"No Delay"
"Nov 1, 2021 @ 03:48:52.000","Logstash Airways",Melbourne,AU,Belogorsk,RU,"664.784","$776.95",false,"No Delay"
"Nov 1, 2021 @ 03:32:24.000","Logstash Airways","Cape Town",ZA,Milan,IT,"542.418","$850.06",false,"Carrier Delay"
"Nov 1, 2021 @ 03:32:24.000","ES-Air",Genova,IT,Shanghai,CN,"839.972","$964.94",false,"No Delay"
"Nov 1, 2021 @ 03:32:24.000",JetBeats,"Xi'an",CN,Zurich,CH,"612.645","$504.14",false,"No Delay"
"Nov 1, 2021 @ 03:22:51.000","Kibana Airlines",Edmonton,CA,Portland,US,"59.865","$1,074.03",false,"No Delay"
"Nov 1, 2021 @ 03:16:56.000","Logstash Airways",Rome,IT,London,GB,"71.286","$574.31",false,"No Delay"
"Nov 1, 2021 @ 03:15:25.000",JetBeats,Rome,IT,Belogorsk,RU,"615.588","$614.46",true,"No Delay"
"Nov 1, 2021 @ 03:08:03.000","ES-Air",Montreal,CA,Belogorsk,RU,"825.996","$1,175.91",false,"No Delay"
"Nov 1, 2021 @ 02:38:15.000","Logstash Airways",London,GB,Pisa,IT,"290.927","$778.94",false,"NAS Delay"
"Nov 1, 2021 @ 02:30:58.000","Logstash Airways",Seoul,KR,Richmond,US,"771.841","$760.47",true,"Late Aircraft Delay"
"Nov 1, 2021 @ 02:28:34.000","Logstash Airways",Catania,IT,Toronto,CA,"421.692","$1,163.58",true,"No Delay"
"Nov 1, 2021 @ 02:22:48.000",JetBeats,Guangzhou,CN,Bangalore,IN,"195.819","$1,041.21",false,"No Delay"
"Nov 1, 2021 @ 02:21:31.000","ES-Air",Bari,IT,Naples,IT,"9.983","$362.61",false,"No Delay"
"Nov 1, 2021 @ 02:09:23.000","Logstash Airways","Frankfurt am Main",DE,Venice,IT,"38.505","$597.62",false,"No Delay"
"Nov 1, 2021 @ 01:46:31.000","Kibana Airlines",Lima,PE,Pisa,IT,"630.905","$1,086.12",false,"No Delay"
"Nov 1, 2021 @ 01:44:48.000","ES-Air","Frankfurt am Main",DE,Genova,IT,"299.652","$636.56",false,"Carrier Delay"
"Nov 1, 2021 @ 01:21:59.000","Kibana Airlines","Jebel Ali",AE,"San Diego",US,"905.012","$988.82",false,"No Delay"
"Nov 1, 2021 @ 01:17:30.000","Logstash Airways",Moscow,RU,Treviso,IT,"139.858","$1,010.12",false,"No Delay"
"Nov 1, 2021 @ 01:10:10.000","Logstash Airways",Casper,US,Quito,EC,"263.398","$1,014.06",true,"No Delay"
"Nov 1, 2021 @ 01:05:00.000",JetBeats,Olenegorsk,RU,Treviso,IT,"232.288","$549.26",false,"No Delay"
"Nov 1, 2021 @ 01:02:15.000",JetBeats,Barcelona,ES,Bologna,IT,"43.841","$716.21",false,"No Delay"
"Nov 1, 2021 @ 00:59:13.000",JetBeats,Chicago,US,Cologne,DE,"326.421","$1,054.72",false,"No Delay"
"Nov 1, 2021 @ 00:47:27.000",JetBeats,Adelaide,AU,Munich,DE,"1,118.352","$524.33",false,"Carrier Delay"
"Nov 1, 2021 @ 00:42:26.000",JetBeats,Pittsburgh,US,"Raleigh/Durham",US,"43.962","$331.23",false,"No Delay"
"Nov 1, 2021 @ 00:39:54.000","Logstash Airways",Toronto,CA,Winnipeg,CA,"98.743","$336.23",false,"NAS Delay"
"Nov 1, 2021 @ 00:29:58.000","Kibana Airlines",Quito,EC,Winnipeg,CA,"576.837","$1,066.93",false,"NAS Delay"
"Nov 1, 2021 @ 00:21:18.000","Kibana Airlines",Dubai,AE,London,GB,"289.722","$569.14",true,"No Delay"
"Nov 1, 2021 @ 00:21:18.000",JetBeats,"Chitose / Tomakomai",JP,Vienna,AT,"452.335","$923.32",false,"No Delay"
"Nov 1, 2021 @ 00:13:08.000","Kibana Airlines",Montreal,CA,Munich,DE,"411.235","$1,171.55",false,"No Delay"
"Nov 1, 2021 @ 00:00:15.000","Logstash Airways",Tokyo,JP,Treviso,IT,"505.365","$880.54",false,"No Delay"
"Oct 31, 2021 @ 23:56:50.000",JetBeats,Treviso,IT,Warsaw,PL,"53.755","$1,127.73",false,"No Delay"
"Oct 31, 2021 @ 23:49:32.000","ES-Air",Barcelona,ES,Erie,US,"409.953","$660.39",false,"No Delay"
"Oct 31, 2021 @ 23:41:52.000","Kibana Airlines",Pittsburgh,US,Richmond,US,"20.83","$489.03",false,"No Delay"
"Oct 31, 2021 @ 23:35:26.000","ES-Air",Durban,ZA,Moscow,RU,"593.86","$877.09",false,"No Delay"
"Oct 31, 2021 @ 23:04:21.000",JetBeats,"Buenos Aires",AR,Oslo,NO,"877.51","$1,080.39",false,"No Delay"
"Oct 31, 2021 @ 22:56:22.000",JetBeats,Birmingham,US,"Frankfurt am Main",DE,"361.086","$999.67",false,"No Delay"
"Oct 31, 2021 @ 22:54:10.000","Logstash Airways",Berlin,DE,Shanghai,CN,"662.338","$831.94",false,"Weather Delay"
"Oct 31, 2021 @ 22:54:10.000","Kibana Airlines",Verona,IT,Verona,IT,0,"$303.87",false,"No Delay"
"Oct 31, 2021 @ 22:49:02.000","Kibana Airlines","Las Vegas",US,Tokyo,JP,"1,054.283","$1,040.26",false,"Carrier Delay"
"Oct 31, 2021 @ 22:48:42.000","Logstash Airways",Quito,EC,Melbourne,AU,"848.675","$1,144.91",false,"Carrier Delay"
"Oct 31, 2021 @ 22:42:22.000","Kibana Airlines",Charlotte,US,Milan,IT,"486.348","$705.78",false,"No Delay"
"Oct 31, 2021 @ 22:32:08.000","Logstash Airways",London,GB,Milan,IT,"53.485","$773.95",true,"No Delay"
"Oct 31, 2021 @ 22:23:49.000","Logstash Airways",Vienna,AT,Winnipeg,CA,"371.812","$612.7",false,"No Delay"
"Oct 31, 2021 @ 22:23:09.000","Logstash Airways",Edmonton,CA,Indianapolis,US,"466.727","$595.69",false,"Security Delay"
"Oct 31, 2021 @ 22:22:44.000","Kibana Airlines",Barcelona,ES,"San Juan",PR,"490.293","$856.48",false,"No Delay"
"Oct 31, 2021 @ 22:11:06.000",JetBeats,Ottawa,CA,Tokyo,JP,"575.924","$548.11",false,"No Delay"
"Oct 31, 2021 @ 22:04:11.000","Logstash Airways",Copenhagen,DK,Milan,IT,"238.949","$598.23",false,"NAS Delay"
"Oct 31, 2021 @ 21:48:06.000","Logstash Airways",Hyderabad,IN,Treviso,IT,"324.674","$998.96",false,"No Delay"
"Oct 31, 2021 @ 21:41:19.000",JetBeats,Paris,FR,Bogota,CO,"786.008","$801.07",false,"No Delay"
"Oct 31, 2021 @ 21:41:19.000","Logstash Airways",Shanghai,CN,Venice,IT,"593.992","$1,012.07",false,"No Delay"
"Oct 31, 2021 @ 21:39:24.000",JetBeats,Chengdu,CN,Rome,IT,"720.259","$880.47",false,"No Delay"
